event_id,predicted_at,season,week,kickoff,home_team,away_team,neutral_site,exp_home,exp_away,pred_margin,pred_total,home_win_prob,line_spread_home,line_total,book,spread_pick,spread_call,spread_win_prob,total_pick,total_call,total_win_prob,model_version,graded_at,final_home,final_away,act_margin,act_total,close_spread_home,close_total,su_correct,spread_result,total_result
401856766,2026-08-29T15:42:14,2026,1,2026-08-29,TCU,North Carolina,True,30.63,20.0,10.63,52.26,0.7561,-7.5,46.5,DraftKings,HOME,NO BET,0.5,OVER,NO BET,0.5,sig11.35_es0.000_ts0.000,2026-08-29T22:05:24,10.0,15.0,-5.0,25.0,-7.5,46.5,0.0,LOSS,LOSS
401864494,2026-08-29T18:34:55,2026,1,2026-08-29,USC,San José State,False,45.45,14.41,31.04,57.22,0.9721,-38.5,61.5,DraftKings,AWAY,NO BET,0.5,UNDER,NO BET,0.5,sig11.35_es0.000_ts0.000,2026-08-30T01:31:28,42.0,26.0,16.0,68.0,-37.5,61.5,1.0,WIN,LOSS
401858202,2026-08-29T18:34:55,2026,1,2026-08-29,Virginia,NC State,False,30.14,23.7,6.45,53.99,0.6631,-4.0,51.5,DraftKings,HOME,NO BET,0.5,OVER,NO BET,0.5,sig11.35_es0.000_ts0.000,2026-08-30T01:31:28,34.0,8.0,26.0,42.0,-4.0,50.5,1.0,WIN,LOSS
401864577,2026-08-29T18:34:55,2026,1,2026-08-29,North Dakota State,Jacksonville State,False,26.33,28.36,-2.03,54.44,0.4456,-6.5,46.5,DraftKings,AWAY,AVOID,0.5,OVER,AVOID,0.5,sig11.35_es0.000_ts0.000,2026-08-30T01:31:28,33.0,7.0,26.0,40.0,-6.5,46.5,0.0,LOSS,LOSS
401866408,2026-08-29T22:05:18,2026,1,2026-08-29,Eastern Michigan,Sacramento State,False,32.55,21.91,10.64,54.32,0.754,-8.5,52.5,DraftKings,HOME,NO BET,0.5,OVER,NO BET,0.5,sig11.35_es0.000_ts0.000,2026-08-30T13:04:51,28.0,17.0,11.0,45.0,-8.5,52.5,1.0,WIN,LOSS
401858201,2026-08-29T22:05:18,2026,1,2026-08-29,Stanford,Hawai'i,False,27.39,23.42,3.97,52.36,0.6017,-4.5,48.5,DraftKings,AWAY,NO BET,0.5,OVER,NO BET,0.5,sig11.35_es0.000_ts0.000,2026-08-30T13:04:51,37.0,27.0,10.0,64.0,-4.5,48.5,1.0,LOSS,WIN
401864570,2026-08-29T22:05:18,2026,1,2026-08-29,Florida State,New Mexico State,False,39.65,11.94,27.7,52.78,0.9609,-30.5,53.5,DraftKings,AWAY,NO BET,0.5,UNDER,NO BET,0.5,sig11.35_es0.000_ts0.000,2026-08-30T13:04:51,34.0,17.0,17.0,51.0,-31.5,53.5,1.0,WIN,WIN
401862693,2026-08-30T01:31:28,2026,1,2026-08-29,UNLV,Memphis,False,32.76,29.53,3.23,58.53,0.5799,-4.0,55.5,DraftKings,AWAY,NO BET,0.5,OVER,NO BET,0.5,sig11.35_es0.000_ts0.000,2026-08-30T13:04:51,21.0,27.0,-6.0,48.0,-4.0,55.5,0.0,WIN,LOSS
401858423,2026-09-03T21:37:09,2026,1,2026-09-03,Rutgers,Massachusetts,False,46.37,12.01,34.36,56.42,0.9822,-29.5,54.5,DraftKings,HOME,NO BET,0.6403,OVER,NO BET,0.5895,sig11.35_es0.000_ts0.000,2026-09-04T13:08:41,21.0,37.0,-16.0,58.0,-29.5,54.5,0.0,LOSS,WIN
401858204,2026-09-03T21:37:09,2026,1,2026-09-03,Wake Forest,Akron,False,35.82,14.09,21.73,51.87,0.9186,-26.5,50.5,DraftKings,AWAY,NO BET,0.6062,OVER,NO BET,0.5516,sig11.35_es0.000_ts0.000,2026-09-04T13:08:41,38.0,16.0,22.0,54.0,-27.5,50.5,1.0,WIN,WIN
401856776,2026-09-03T21:37:09,2026,1,2026-09-03,Georgia Tech,Colorado,False,33.89,21.54,12.35,54.83,0.7877,-6.5,51.5,DraftKings,HOME,NO BET,0.6523,OVER,NO BET,0.6479,sig11.35_es0.000_ts0.000,2026-09-04T13:08:41,13.0,14.0,-1.0,27.0,-6.5,53.5,0.0,LOSS,LOSS
401858424,2026-09-04T00:39:56,2026,1,2026-09-03,Illinois,UAB,False,43.42,15.75,27.67,56.85,0.9562,-25.5,54.5,DraftKings,HOME,NO BET,0.5653,OVER,NO BET,0.6059,sig11.35_es0.000_ts0.000,2026-09-04T13:08:41,42.0,23.0,19.0,65.0,-25.5,54.5,1.0,LOSS,WIN
401864495,2026-09-04T22:08:20,2026,1,2026-09-04,Eastern Michigan,San José State,False,29.21,27.68,1.53,55.63,0.5389,-1.5,55.5,DraftKings,HOME,NO BET,0.5152,OVER,NO BET,0.5108,sig11.35_es0.000_ts0.000,2026-09-05T13:07:46,21.0,27.0,-6.0,48.0,-1.5,55.5,0.0,LOSS,LOSS
401858429,2026-09-04T22:08:20,2026,1,2026-09-04,Michigan State,Toledo,False,26.02,22.68,3.34,51.22,0.5856,-10.0,48.5,DraftKings,AWAY,NO BET,0.6464,OVER,NO BET,0.6278,sig11.35_es0.000_ts0.000,2026-09-05T13:07:46,30.0,20.0,10.0,50.0,-10.0,48.5,1.0,PUSH,WIN
